Date : 2025-03-11 18:10:11
Directory : c:\Users\HP\Desktop\optal\fe-optal\src
Total : 234 files,  13432 codes, 491 comments, 2064 blanks, all 15987 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| app\components\product_details                                                                                                            |          2 |        539 |         31 |         74 |        644 |
| app\components\support                                                                                                                    |          1 |         63 |          0 |          4 |         67 |
| app\components\tutorial                                                                                                                   |          1 |        180 |          0 |         19 |        199 |
| app\components\ui-kit                                                                                                                     |          4 |        240 |         10 |         16 |        266 |
| app\components\ui-kit\BackPage                                                                                                            |          2 |         29 |          0 |          5 |         34 |
| app\components\ui-kit\OrderCard                                                                                                           |          2 |        211 |         10 |         11 |        232 |
| app\components\updateProduct                                                                                                              |         17 |        994 |         58 |        141 |      1,193 |
| app\components\updateProduct (Files)                                                                                                      |          2 |         21 |         52 |         15 |         88 |
| app\components\updateProduct\components                                                                                                   |         15 |        973 |          6 |        126 |      1,105 |
| app\components\updateProduct\components (Files)                                                                                           |          3 |        100 |          0 |         22 |        122 |
| app\components\updateProduct\components\tabs                                                                                              |         12 |        873 |          6 |        104 |        983 |
| app\components\updateProduct\components\tabs (Files)                                                                                      |          7 |        514 |          5 |         63 |        582 |
| app\components\updateProduct\components\tabs\Modals                                                                                       |          5 |        359 |          1 |         41 |        401 |
| app\components\ux-kit                                                                                                                     |         12 |        423 |          6 |         60 |        489 |
| app\components\ux-kit\BuyNowModal                                                                                                         |          2 |        111 |          1 |         17 |        129 |
| app\components\ux-kit\ClientAllowModal                                                                                                    |          2 |         89 |          1 |         10 |        100 |
| app\components\ux-kit\GoToCartModal                                                                                                       |          2 |         54 |          0 |          3 |         57 |
| app\components\ux-kit\ManufacterAllowModal                                                                                                |          2 |         52 |          2 |         10 |         64 |
| app\components\ux-kit\ManufacterIntroModal                                                                                                |          2 |         52 |          0 |          9 |         61 |
| app\components\ux-kit\QuickAuthModal                                                                                                      |          2 |         65 |          2 |         11 |         78 |
| app\login-customer                                                                                                                        |          1 |         14 |          0 |          2 |         16 |
| app\login-factory                                                                                                                         |          1 |         10 |          1 |          2 |         13 |
| app\newfactory                                                                                                                            |          1 |         10 |          0 |          3 |         13 |
| app\product                                                                                                                               |          1 |         16 |          0 |          4 |         20 |
| app\product\[productId]                                                                                                                   |          1 |         16 |          0 |          4 |         20 |
| app\redux                                                                                                                                 |          4 |        159 |         25 |         37 |        221 |
| app\redux (Files)                                                                                                                         |          1 |          9 |          0 |          3 |         12 |
| app\redux\api                                                                                                                             |          1 |         23 |          1 |          8 |         32 |
| app\redux\slices                                                                                                                          |          2 |        127 |         24 |         26 |        177 |
| app\register-customer                                                                                                                     |          1 |         14 |          0 |          2 |         16 |
| app\search                                                                                                                                |          3 |         28 |          0 |         10 |         38 |
| app\search\[query]                                                                                                                        |          3 |         28 |          0 |         10 |         38 |
| app\search\[query] (Files)                                                                                                                |          1 |         14 |          0 |          6 |         20 |
| app\search\[query]\components                                                                                                             |          2 |         14 |          0 |          4 |         18 |
| app\styles                                                                                                                                |         28 |      1,668 |         78 |        322 |      2,068 |
| app\styles (Files)                                                                                                                        |          1 |          3 |          1 |          2 |          6 |
| app\styles\base                                                                                                                           |          2 |          3 |          0 |          1 |          4 |
| app\styles\components                                                                                                                     |         24 |      1,648 |         77 |        318 |      2,043 |
| app\styles\layout                                                                                                                         |          1 |         14 |          0 |          1 |         15 |
| app\subcategory                                                                                                                           |          1 |         14 |          0 |          3 |         17 |
| app\subcategory\[subcatId]                                                                                                                |          1 |         14 |          0 |          3 |         17 |
| app\support                                                                                                                               |          1 |         12 |          0 |          2 |         14 |
| app\temp_data                                                                                                                             |          1 |         43 |          0 |          2 |         45 |
| app\tutorial                                                                                                                              |          1 |         12 |          0 |          3 |         15 |
| app\util                                                                                                                                  |         11 |        261 |         12 |         27 |        300 |
| public                                                                                                                                    |          7 |         16 |          1 |          0 |         17 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\HP\Desktop\optal\fe-optal\src\app\BoxSingleProduct\[productId]\componetns\BoxSingleProduct.jsx                                   | JavaScript JSX |        259 |         11 |         33 |        303 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\BoxSingleProduct\[productId]\componetns\BoxSingleProduct.scss                                  | SCSS           |        297 |         17 |         46 |        360 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\BoxSingleProduct\[productId]\page.jsx                                                          | JavaScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\VAR.js                                                                                         | JavaScript     |          1 |          1 |          3 |          5 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-customer\dels\page.jsx                                                                 | JavaScript JSX |          9 |          0 |          2 |         11 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-customer\favorites\page.jsx                                                            | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-customer\history\page.jsx                                                              | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-customer\orders\page.jsx                                                               | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-customer\page.jsx                                                                      | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-customer\reviews\page.jsx                                                              | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-factory\page.jsx                                                                       | JavaScript JSX |          8 |          0 |          3 |         11 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\account-factory\update-product\[productId]\page.jsx                                            | JavaScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\addproduct\page.jsx                                                                            | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\bl\[box_login]\[box_imagoco]\components\BoxLogin.jsx                                           | JavaScript JSX |         37 |          0 |         11 |         48 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\bl\[box_login]\[box_imagoco]\components\BoxLogin.scss                                          | SCSS           |         19 |          0 |          0 |         19 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\bl\[box_login]\[box_imagoco]\page.jsx                                                          | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\AccountBox.jsx                                                          | JavaScript JSX |        104 |          8 |         22 |        134 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\AccountBoxFooter.jsx                                                    | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\AccountBoxHeader.jsx                                                    | JavaScript JSX |        176 |          1 |         25 |        202 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\AccountBoxProducts.jsx                                                  | JavaScript JSX |         74 |          0 |         22 |         96 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\BoxProductList.jsx                                                      | JavaScript JSX |         17 |          0 |          7 |         24 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\ProductList.scss                                                        | SCSS           |         33 |          0 |          2 |         35 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\Razdel.jsx                                                              | JavaScript JSX |        106 |          0 |         15 |        121 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\modals\CreateNewStoreCategoryModal.jsx                                  | JavaScript JSX |         48 |          0 |          7 |         55 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\components\modals\EditRazdel.jsx                                                   | JavaScript JSX |         54 |          0 |          5 |         59 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\page.jsx                                                                           | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\BoxUpdateProduct.jsx                         | JavaScript JSX |         20 |          0 |         10 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\Footer.jsx                        | JavaScript JSX |          8 |          0 |          3 |         11 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\Form.jsx                          | JavaScript JSX |         62 |          8 |         14 |         84 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\Header.jsx                        | JavaScript JSX |         22 |          0 |          5 |         27 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\ColorVariant.jsx             | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Images.jsx                   | JavaScript JSX |        105 |          0 |         15 |        120 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Images.scss                  | SCSS           |         87 |          5 |          6 |         98 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Main.jsx                     | JavaScript JSX |        293 |         15 |         34 |        342 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Main.scss                    | SCSS           |         48 |          0 |          2 |         50 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\AddColor.jsx          | JavaScript JSX |        148 |          0 |         16 |        164 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\DeleteColor.jsx       | JavaScript JSX |         37 |          0 |          8 |         45 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\EditColor.jsx         | JavaScript JSX |         70 |          1 |          8 |         79 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\EditImage.jsx         | JavaScript JSX |         97 |          0 |          9 |        106 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\EditProductModal.scss | SCSS           |         30 |          0 |          1 |         31 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\SuccessUpdated.jsx    | JavaScript JSX |         23 |          0 |          3 |         26 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Preview.jsx                  | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\PriceComponent.jsx           | JavaScript JSX |         27 |          0 |          6 |         33 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Sales.jsx                    | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\page.jsx                                                | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-activate\[box_key]\page.jsx                                                                | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProduct.jsx                                                    | JavaScript JSX |         16 |          0 |          5 |         21 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProductFooter.jsx                                              | JavaScript JSX |          8 |          0 |          3 |         11 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProductForm.jsx                                                | JavaScript JSX |        386 |          1 |         50 |        437 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProductHeader.jsx                                              | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\modals\ChooseColor.jsx                                               | JavaScript JSX |         57 |          2 |          6 |         65 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\modals\ChooseRazdel.jsx                                              | JavaScript JSX |         58 |          0 |          6 |         64 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\сomponents\ChooseColorButton.jsx                                     | JavaScript JSX |         47 |          2 |          5 |         54 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\сomponents\PriceComponent.jsx                                        | JavaScript JSX |         30 |          0 |          6 |         36 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\page.jsx                                                                        | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\components\BoxCreate.jsx                                                            | JavaScript JSX |        106 |          0 |         24 |        130 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\components\BoxCreate.scss                                                           | SCSS           |         19 |          0 |          0 |         19 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\components\BoxRegisteredModal.jsx                                                   | JavaScript JSX |         28 |          0 |          4 |         32 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\page.jsx                                                                            | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\AddToCartButton.jsx                                                    | JavaScript JSX |         40 |          0 |          9 |         49 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxContent.jsx                                                         | JavaScript JSX |         60 |          0 |         17 |         77 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxContent.scss                                                        | SCSS           |         90 |          0 |         19 |        109 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxFooter.jsx                                                          | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxHeader.jsx                                                          | JavaScript JSX |        192 |         33 |         38 |        263 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxProductCard.jsx                                                     | JavaScript JSX |         47 |          4 |          6 |         57 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxView.jsx                                                            | JavaScript JSX |         38 |          0 |         10 |         48 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\Razdel.jsx                                                             | JavaScript JSX |         31 |          0 |          4 |         35 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\page.jsx                                                                          | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\cart\checkout\page.jsx                                                                         | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\cart\page.jsx                                                                                  | JavaScript JSX |         18 |          1 |          5 |         24 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\category\[categoryId]\page.jsx                                                                 | JavaScript JSX |         15 |          0 |          2 |         17 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\AccountCustomer.jsx                                                 | JavaScript JSX |        133 |          2 |         20 |        155 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Currency.jsx                                                        | JavaScript JSX |        173 |          0 |         22 |        195 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\OneOrder.jsx                                                 | JavaScript JSX |         25 |          0 |          5 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\OneOrder.scss                                                | SCSS           |         83 |          2 |          0 |         85 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\Orders.jsx                                                   | JavaScript JSX |         57 |          0 |          7 |         64 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\Orders.scss                                                  | SCSS           |         13 |          0 |          0 |         13 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountFactory\AccountFactory.jsx                                                   | JavaScript JSX |        101 |          3 |         20 |        124 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\LoginCustomer\LoginCustomer.jsx                                                | JavaScript JSX |        176 |          2 |         18 |        196 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\LoginsFactory\LoginFactory.jsx                                                 | JavaScript JSX |        178 |          1 |         25 |        204 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\RegisterCustomer\RegisterCustomer.jsx                                          | JavaScript JSX |        201 |          2 |         30 |        233 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\RegisterFactory\RegisterFactory.jsx                                            | JavaScript JSX |        207 |          2 |         39 |        248 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\CategoryContent\CategoryContent.jsx                                                 | JavaScript JSX |         59 |          0 |          7 |         66 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\CurrencyFormatter\CurrencyFormatter.jsx                                             | JavaScript JSX |         19 |          3 |          8 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\DesktopCats\DesktopCats.jsx                                                         | JavaScript JSX |         21 |          0 |          3 |         24 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\DesktopCats\DesktopCatsComponent.jsx                                                | JavaScript JSX |         73 |          0 |         14 |         87 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\SubCategoryContent\SubCategoryContent.jsx                                           | JavaScript JSX |         37 |          0 |          4 |         41 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\AccountHeader.jsx                                                    | JavaScript JSX |        172 |          1 |         23 |        196 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\AccountProducts.jsx                                                  | JavaScript JSX |         63 |          0 |         17 |         80 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\ProductList.jsx                                                      | JavaScript JSX |         17 |          0 |          8 |         25 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\ProductList.scss                                                     | SCSS           |         22 |          0 |          2 |         24 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\UploadAvatarModal.jsx                                                | JavaScript JSX |        110 |          1 |         15 |        126 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddProductFooter.jsx                                                     | JavaScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddProductForm.jsx                                                       | JavaScript JSX |        350 |          0 |         46 |        396 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddProductIndex.jsx                                                      | JavaScript JSX |         16 |          0 |          3 |         19 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddproductHeader.jsx                                                     | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\ColorVariant.jsx                                                         | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\reserve.jsx                                                              | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\banner\Banner.jsx                                                                   | JavaScript JSX |         25 |         37 |         15 |         77 |
